mode,batch,rep,frac,auc_ref,auc_cur,auc_drop,ks,psi,wasserstein,jensen_shannon,mmd,c2st,alarm_ks,alarm_psi,alarm_wasserstein,alarm_jensen_shannon,alarm_mmd,alarm_c2st,harm
gradual,7,0,0.875,0.8681332081041191,0.7145881184358802,0.15354508966823888,0.4641999900341034,6.531054254637831,15.807299808012836,0.8294650233657569,0.006535708904266357,0.49991582031250004,1,1,1,1,1,1,1
sudden,8,0,1.0,0.8681332081041191,0.7167696561450388,0.15136355195908024,0.461899995803833,6.564924813905782,18.104582894973902,0.8335137711732327,0.010996818542480469,0.49997499999999995,1,1,1,1,1,1,1
gradual,8,0,1.0,0.8681332081041191,0.7102512003798434,0.15788200772427574,0.4655500054359436,6.600506399312207,17.989263371879733,0.8336446238266823,0.011196434497833252,0.49991748046874995,1,1,1,1,1,1,1
sudden,1,1,1.0,0.8481342114763755,0.7397413649761821,0.10839284650019332,0.4659000039100647,6.337869813871185,17.66062610802888,0.8307431743733406,0.011449217796325684,0.49984072265625,1,1,1,1,1,1,1
gradual,1,1,0.125,0.8481342114763755,0.783851374017582,0.06428283745879348,0.4362858533859253,3.6903985798774195,2.133735660742187,0.6493382855706374,0.00048720836639404297,0.4998072265624999,1,1,1,1,0,1,1
sudden,2,1,1.0,0.8481342114763755,0.7229392102951462,0.12519500118122928,0.4584500193595886,6.2799727328639205,17.778006141689787,0.8293453415158626,0.01120215654373169,0.49984130859375,1,1,1,1,1,1,1
gradual,2,1,0.25,0.8481342114763755,0.762488082912836,0.08564612856353948,0.4381028711795807,4.612578831544057,4.318336853871736,0.7258377390190588,0.0003425478935241699,0.49985185546875,1,1,1,1,0,1,1
sudden,3,1,1.0,0.8481342114763755,0.7232666237914118,0.12486758768496364,0.4661500155925751,6.3279198150675136,17.636192897563937,0.8300906450122996,0.010728597640991211,0.49992646484375003,1,1,1,1,1,1,1
gradual,3,1,0.375,0.8481342114763755,0.7506529167423722,0.09748129473400324,0.44510000944137573,5.1807993837524124,6.681818248224978,0.7626472484074688,0.00048798322677612305,0.49982597656249994,1,1,1,1,0,1,1
sudden,4,1,1.0,0.8481342114763755,0.7147136393010878,0.1334205721752877,0.469400018453598,6.45064009997447,17.79680934581345,0.8329792791123971,0.01049727201461792,0.49996699218750007,1,1,1,1,1,1,1
gradual,4,1,0.5,0.8481342114763755,0.7344072703377235,0.113726941138652,0.4556500017642975,5.5727951217314695,8.858178304243976,0.7856242314311491,0.000728905200958252,0.4997705078125,1,1,1,1,1,1,1
sudden,5,1,1.0,0.8481342114763755,0.7278375650389464,0.1202966464374291,0.4615499973297119,6.379729540401947,17.930071493003904,0.8317897656012321,0.011571764945983887,0.499930078125,1,1,1,1,1,1,1
gradual,5,1,0.625,0.8481342114763755,0.7298990123431913,0.11823519913318414,0.4600500166416168,5.860250798404267,11.098211046731848,0.801723125392725,0.0020505785942077637,0.4997871093749999,1,1,1,1,1,1,1
sudden,6,1,1.0,0.8481342114763755,0.719483719901473,0.1286504915749025,0.45910000801086426,6.338379424237315,17.96072339476257,0.8323265828360874,0.011115729808807373,0.4999626953124999,1,1,1,1,1,1,1
gradual,6,1,0.75,0.8481342114763755,0.7296538241281026,0.11848038734827282,0.4618000090122223,6.003586369576496,13.26347716028049,0.8118382835907091,0.003944814205169678,0.4998939453125,1,1,1,1,1,1,1
sudden,7,1,1.0,0.8481342114763755,0.7235724666752633,0.12456174480111215,0.46505001187324524,6.391332792010269,17.6354550728186,0.8336285389435301,0.010427236557006836,0.49990869140625005,1,1,1,1,1,1,1
gradual,7,1,0.875,0.8481342114763755,0.7213014666190716,0.1268327448573039,0.4631919860839844,6.183761613057056,15.514165053756845,0.8222494212480945,0.006848931312561035,0.499858984375,1,1,1,1,1,1,1
sudden,8,1,1.0,0.8481342114763755,0.7386480933100065,0.109486118166369,0.4672999978065491,6.345818876208267,17.825424258617083,0.8308152831870153,0.010863900184631348,0.49990996093749995,1,1,1,1,1,1,1
gradual,8,1,1.0,0.8481342114763755,0.7215281270981055,0.12660608437826992,0.4694499969482422,6.389384171361949,17.632140690601375,0.8306645960546172,0.011246144771575928,0.4999420898437499,1,1,1,1,1,1,1
sudden,1,2,1.0,0.8563242061977955,0.7201746890160441,0.1361495171817514,0.46239998936653137,6.4667023464302575,21.00972632342422,0.8320645817299602,0.016618728637695312,0.49990253906250004,1,1,1,1,1,1,1
gradual,1,2,0.125,0.8563242061977955,0.7819092153420165,0.07441499085577896,0.42698410153388977,3.7198696568217575,2.2796645869429097,0.6401567002211757,0.0005435943603515625,0.4997222656249999,1,1,1,1,0,1,1
sudden,2,2,1.0,0.8563242061977955,0.7316823046119564,0.1246419015858391,0.46549999713897705,6.457858970519376,20.934950628332977,0.8318634399078673,0.01559215784072876,0.49986328125,1,1,1,1,1,1,1
gradual,2,2,0.25,0.8563242061977955,0.7629842890766894,0.09333991712110612,0.4314500093460083,4.690912118786923,4.890279504970376,0.7211168006372459,0.0008495450019836426,0.49967773437500007,1,1,1,1,1,1,1
sudden,3,2,1.0,0.8563242061977955,0.7225217951122265,0.133802411085569,0.46799999475479126,6.463231832173368,20.919490340345874,0.831769285662774,0.01570981740951538,0.4999087890625,1,1,1,1,1,1,1
gradual,3,2,0.375,0.8563242061977955,0.7486031639083521,0.10772104228944335,0.4431000053882599,5.2130497210481215,7.541268860746311,0.7563803340186585,0.001346290111541748,0.49976796875000007,1,1,1,1,1,1,1
