rep,auc_ref,auc_cur,auc_drop,segment_auc_drop,ks,psi,wasserstein,jensen_shannon,mmd,c2st
52,0.8550618501787088,0.852530899230277,0.0025309509484318093,0.06942905891602846,0.02936917543411255,0.0044243328139445485,0.41317846763461735,0.04936889206642784,-0.0001163482666015625,1.2646484374934097e-05
53,0.8614460112880691,0.8543379761704983,0.0071080351175707435,0.04313702813286524,0.023302555084228516,0.010317060131431747,0.26969999999999905,0.05654831106485481,0.0003126859664916992,0.0011375000000000135
54,0.8529958613898712,0.8530873388981072,-9.14775082360153e-05,0.04210972583477823,0.027518272399902344,0.0064512818647076845,0.5154999999999651,0.05514221037576809,-9.959936141967773e-05,-0.009923486328125009
55,0.8536139896373057,0.8493001005843472,0.004313889052958486,0.05040546097540899,0.02077057957649231,0.006065804419173856,0.5421999999999689,0.05867188885856945,0.0008018016815185547,0.0002770996093750533
56,0.8646465371154168,0.8494715201797295,0.015175016935687347,0.0027877407970127166,0.03153860569000244,0.008951790854551538,0.6260999999999568,0.050481377361930514,2.7894973754882812e-05,-0.0041888671875000005
57,0.8553678643153745,0.8594631954227683,-0.004095331107393796,0.05537167745760074,0.03665605187416077,0.017786434484153357,0.6421999999999609,0.07528867556631524,5.1856040954589844e-05,-0.009375146484374985
58,0.8485393897194152,0.8500749657174221,-0.0015355759980069106,-0.010682199836456241,0.024544909596443176,0.005369655558161443,0.32004999999997985,0.047733144600755964,0.0005879998207092285,0.006348242187499964
59,0.8625892469259392,0.8673897509506279,-0.004800504024688679,0.006384623862228045,0.02408626675605774,0.01167250893881211,0.49440000000002843,0.05037812830579297,-7.450580596923828e-05,-0.004651513671874996
60,0.8562248813035992,0.8519529162688575,0.004271965034741698,0.12453220579107727,0.024848774075508118,0.007560445600689619,0.4807499999999716,0.06141964321812761,0.00011211633682250977,-0.000341162109375015
61,0.8395642185801917,0.8596128557667486,-0.020048637186556917,-0.09146255190775743,0.02502650022506714,0.008392181393274991,0.2121527822272736,0.05156631721283142,-1.4543533325195312e-05,0.009865966796875014
62,0.8679453705123432,0.848096891632005,0.01984847888033825,0.02658966879261726,0.028084516525268555,0.012186457066243923,0.46439999999999404,0.062589988005573,-2.944469451904297e-05,0.01301142578125003
63,0.8550982512807331,0.8632804125098644,-0.00818216122913129,0.1194498798252297,0.025444328784942627,0.008647769655540089,0.3635499999999861,0.058628607849778254,-7.82012939453125e-05,0.00140014648437492
64,0.8601291002843393,0.861230791575951,-0.0011016912916116395,0.04081704030708888,0.03930383920669556,0.014763755139767153,0.3686499999999828,0.05953923362051435,-3.3736228942871094e-05,-0.010532080078125006
65,0.8520706410729356,0.8531606097675121,-0.0010899686945764486,-0.10062184612503733,0.032494425773620605,0.011536171449324152,0.31692189047506963,0.06435979372175185,-0.0002650618553161621,-0.0013400878906249525
66,0.8495926495694597,0.8783439956273048,-0.02875134605784513,0.0372730221648202,0.02951604127883911,0.007874415031290076,0.47079999999999134,0.054154500662127576,-0.00016313791275024414,-0.0051464355468749945
67,0.8592303030303029,0.8526867738019059,0.00654352922839696,0.09438658289607449,0.036015719175338745,0.01165414024527215,0.28851400471541094,0.06369941458247262,6.866455078125e-05,0.003809667968750041
68,0.8625726430335361,0.8632852198076617,-0.0007125767741256173,0.08377644761784908,0.03151905536651611,0.010597923149150486,0.3629652621570959,0.061229126309255644,-0.00017309188842773438,-0.007507861328125032
69,0.8528328936910702,0.8525022708455928,0.00033062284547735743,0.06948429946691315,0.022320568561553955,0.011665393260818986,0.42879999999998863,0.05918706909936458,3.653764724731445e-05,0.011138867187500012
70,0.8564593041926046,0.8520449371830338,0.004414367009570874,0.02722537745329523,0.02368845045566559,0.013239008627172826,0.24024999999999225,0.05899534827585942,5.418062210083008e-05,-0.013742773437500022
71,0.8538492853462709,0.8557965678314058,-0.0019472824851348713,0.05828360987280168,0.019229590892791748,0.004685016106162039,0.2661000000000023,0.04049951377016217,-0.0002644658088684082,-0.012664062500000073
72,0.8517169682344982,0.8507855755553124,0.0009313926791857385,-0.0400065589582832,0.026753664016723633,0.009356875585821161,0.34189999999998105,0.051846185235742435,-0.00011879205703735352,0.014633789062500013
73,0.8486425038779051,0.8556682239420709,-0.007025720064165797,0.013220166097352437,0.037073105573654175,0.008430849877489734,0.4964176555083022,0.04714987047861439,-3.49879264831543e-05,-0.017581835937500012
74,0.8773084985478526,0.8472994865703533,0.03000901197749939,0.006404599555524859,0.02297055721282959,0.009501809987853497,0.28147499999999565,0.04839099386794302,-0.0003737807273864746,0.0005632324218749485
75,0.8627880639436578,0.8517440969748813,0.01104396696877652,0.056547326953596544,0.029655933380126953,0.007116306357641393,0.37949527796135385,0.0467833759527195,9.042024612426758e-05,0.00034111328124997176
76,0.8423671116979822,0.8569862263709126,-0.014619114672930422,0.0629107852291243,0.0299416184425354,0.00536665052198123,0.4132693055585387,0.05810158281023863,-0.00022357702255249023,-0.007391699218749992
77,0.8632451074466007,0.8661447768415251,-0.0028996693949244756,-0.0670405511466351,0.04785418510437012,0.011855658290851478,0.5039499999999721,0.05128577758465402,0.0003132820129394531,-0.0019689453125000256
78,0.8585979159630958,0.8511466257491932,0.007451290213902562,0.07039413639126701,0.028592705726623535,0.012701372300861519,0.878150000000039,0.05445161238498873,-0.00013786554336547852,0.02012797851562509
79,0.8563470222396952,0.8604803878193803,-0.004133365579685133,0.020354904326523315,0.025661230087280273,0.008963714507937575,0.7099499999999606,0.0637416824725425,-6.949901580810547e-05,0.008379931640625005
80,0.8546200669659472,0.8646289942510788,-0.010008927285131586,0.06356871149486831,0.027654558420181274,0.006788414345653382,0.6300000000000452,0.05063400581991769,1.2218952178955078e-05,-0.0007979003906249948
81,0.8493729643198455,0.8508358285362463,-0.0014628642164007388,-0.05023499809799259,0.01875320076942444,0.007686276301640863,0.3563499999999957,0.0567381241908735,-5.0008296966552734e-05,2.4267578125014566e-05
82,0.8637163536360294,0.8534556435317817,0.010260710104247672,0.034886852337001506,0.031052380800247192,0.015114853585675181,0.315049999999997,0.07007058118537844,-0.0001679062843322754,-0.0004104492187499975
83,0.8556620589497039,0.8506292874851462,0.005032771464557717,0.03017575424512553,0.029222756624221802,0.009455200856126321,0.28395481461897354,0.06317371648167755,8.696317672729492e-05,0.0008054687499999824
