archetype,rep,expected_harm,expected_alarm,auc_ref,auc_cur,auc_drop,segment_auc_drop,segment_positive_share,ks,psi,wasserstein,jensen_shannon,mmd,c2st,harm,segment_harm,alarm_ks,alarm_psi,alarm_wasserstein,alarm_jensen_shannon,alarm_mmd,alarm_c2st
dilution_permuted,8,True,quiet,0.8596763540266606,0.8670311982344275,-0.007354844207766886,0.3070815928710666,0.4117647058823529,0.028858423233032227,0.013509173870603304,0.390398638030174,0.06271587289553186,0.0002778172492980957,0.012455615234374995,0,1,0,0,0,0,0,0
irrelevant_feature_drift,8,False,fire,0.8596763540266606,0.8729343126211578,-0.013257958594497188,,,1.0,17.68992708521485,3.7668621877558306,0.9221175833316265,0.7026118636131287,0.5,0,0,1,1,1,1,1,1
sudden_shift,8,True,fire,0.8596763540266606,0.7167309727807596,0.14294538124590106,,,0.4653500020503998,6.4351833854797444,17.752381019336422,0.83027269984395,0.011034905910491943,0.49993046875,1,0,1,1,1,1,1,1
gradual_shift,8,True,unknown,0.8596763540266606,0.755859331862023,0.10381702216463762,,,0.43449997901916504,4.723374425085941,4.1770791561530505,0.7248376005819519,0.0002390146255493164,0.4997364257812499,1,0,1,1,1,1,0,1
true_null,9,False,quiet,0.856912891334693,0.8574656519330224,-0.000552760598329427,,,0.024586856365203857,0.009940694375980505,0.7533499999999802,0.05529869871378729,0.00024378299713134766,-0.002314306640625041,0,0,0,0,0,0,0,0
covariate_shift_mild,9,False,fire,0.856912891334693,0.8549453819775673,0.001967509357125641,,,0.263834685087204,0.3228439063024433,1.6446829643694885,0.24229611590530087,0.007715165615081787,0.13950039062499997,0,0,1,1,1,1,1,1
covariate_shift_moderate,9,False,fire,0.856912891334693,0.828935389624972,0.02797750170972091,,,0.5250945091247559,1.2712250843432868,3.6829894271507464,0.46812676900744365,0.03485429286956787,0.291127880859375,1,0,1,1,1,1,1,1
covariate_shift_strong,9,False,fire,0.856912891334693,0.7872053340406483,0.06970755729404465,,,0.7355709671974182,3.519973065515627,7.285259564037123,0.6927555302982974,0.07022911310195923,0.4074327148437501,1,0,1,1,1,1,1,1
concept_drift_no_covariate_shift,9,True,quiet,0.856912891334693,0.5065329275058305,0.3503799638288625,,,0.024586856365203857,0.009940694375980505,0.7533499999999802,0.05529869871378729,0.00024378299713134766,-0.002314306640625041,1,0,0,0,0,0,0,0
imputation_masked_null,9,True,quiet,0.856912891334693,0.7930194994764816,0.0638933918582113,,,0.030105173587799072,0.009940694375980505,0.7533499999999802,0.05529869871378729,0.005154788494110107,0.49963447265624994,1,0,0,0,0,0,1,1
imputation_visible,9,True,unknown,0.856912891334693,0.7947596950790399,0.062153196255653076,,,0.45295000076293945,3.7562343371592983,2.4849000000000094,0.7988804824028707,0.005146443843841553,0.49992763671874996,1,0,1,1,1,1,1,1
dilution_shift,9,True,quiet,0.856912891334693,0.8512683396743634,0.005644551660329511,0.18744191441559876,0.4010840108401084,0.06195547431707382,0.043839148933796326,2.6102533877022447,0.08709105819282977,0.0004442930221557617,0.01714497070312504,0,1,1,1,1,1,0,1
dilution_permuted,9,True,quiet,0.856912891334693,0.8498053443051304,0.007107547029562511,0.38542155524063426,0.4010840108401084,0.024586856365203857,0.009940694375980505,0.7533499999999802,0.05529869871378729,0.0003406405448913574,0.003243652343750014,0,1,0,0,0,0,0,0
irrelevant_feature_drift,9,False,fire,0.856912891334693,0.8574656519330224,-0.000552760598329427,,,1.0,18.55267122462141,341.48204225784286,0.9212781233826319,0.9492037296295166,0.5,0,0,1,1,1,1,1,1
sudden_shift,9,True,fire,0.856912891334693,0.7173301182186362,0.1395827731160567,,,0.46719998121261597,6.742616866204279,17.781632335903545,0.8366403298713841,0.014530777931213379,0.49989628906249994,1,0,1,1,1,1,1,1
gradual_shift,9,True,unknown,0.856912891334693,0.7594319832721741,0.09748090806251886,,,0.449377179145813,4.913349936456871,4.476372898743472,0.7226551551274824,0.00032013654708862305,0.49973291015625,1,0,1,1,1,1,0,1
true_null,10,False,quiet,0.865273884029773,0.8673095320424159,-0.0020356480126428877,,,0.025278687477111816,0.006219420908146573,0.5401000000000493,0.062448013162529015,-0.00021338462829589844,0.0034345214843749527,0,0,0,0,0,0,0,0
covariate_shift_mild,10,False,fire,0.865273884029773,0.8565135749403032,0.008760309089469787,,,0.2684367299079895,0.32546889417968894,1.3929784660198445,0.24426910320984846,0.00663447380065918,0.15495712890625002,0,0,1,1,1,1,1,1
covariate_shift_moderate,10,False,fire,0.865273884029773,0.856094178140117,0.009179705889655998,,,0.5242496132850647,1.254910237427853,3.394961233589657,0.46693313745603127,0.02805197238922119,0.29066235351562497,0,0,1,1,1,1,1,1
covariate_shift_strong,10,False,fire,0.865273884029773,0.7964227008203786,0.06885118320939443,,,0.7316544055938721,3.4136031007717396,6.17613562056746,0.68987375290954,0.06531965732574463,0.4082530761718749,1,0,1,1,1,1,1,1
concept_drift_no_covariate_shift,10,True,quiet,0.865273884029773,0.5115173978424818,0.35375648618729116,,,0.025278687477111816,0.006219420908146573,0.5401000000000493,0.062448013162529015,-0.00021338462829589844,0.0034345214843749527,1,0,0,0,0,0,0,0
